is_left_footed,game_away,is_endgame,is_start,time_norm,distance,angle,is_left_side,has_previous_attempts,wind_speed,precipitation_probability,resultat
0,0,1,0,1.0,40,37,0,0,2.25,0.0,1
0,0,1,0,1.0,42,31,1,1,2.25,0.0,1
0,1,0,0,0.07,36,48,0,0,2.25,0.0,0
0,1,0,0,0.31,28,32,1,1,2.25,0.0,0
0,1,0,0,0.35,11,15,0,0,2.25,0.0,1
0,1,1,0,0.95,40,51,0,1,2.25,0.0,0
0,0,0,0,0.08,25,29,0,0,6.12,0.0,1
0,0,0,0,0.15,37,49,1,1,6.12,0.0,1
0,0,0,0,0.56,36,46,1,1,6.12,0.0,1
0,0,0,0,0.89,28,39,1,1,6.12,0.0,1
0,0,1,0,0.98,39,53,1,1,6.12,0.0,0
0,0,1,0,1.0,7,8,1,1,6.12,0.0,1
0,1,0,0,0.51,43,5,0,1,6.12,0.0,0
0,1,0,0,0.77,28,19,1,1,6.12,0.0,1
0,1,0,0,0.85,32,46,1,1,6.12,0.0,1
0,1,1,0,1.0,17,40,0,1,6.12,0.0,1
0,0,0,0,0.15,30,37,0,0,2.44,0.0,1
0,0,0,0,0.21,39,50,1,1,2.44,0.0,0
0,0,0,0,0.3,42,28,0,1,2.44,0.0,0
0,0,0,0,0.33,43,53,0,1,2.44,0.0,1
0,0,0,0,0.6,10,29,1,1,2.44,0.0,1
0,0,1,0,1.0,38,5,0,0,2.44,0.0,0
0,0,1,0,1.0,44,37,1,1,2.44,0.0,1
0,1,0,0,0.1,13,13,1,0,2.44,0.0,1
0,1,0,0,0.88,34,52,1,1,2.44,0.0,0
0,1,1,0,1.0,11,0,1,0,2.44,0.0,1
0,1,1,0,1.0,22,39,1,1,2.44,0.0,1
0,1,1,0,1.0,25,45,0,1,2.44,0.0,1
0,1,1,0,1.0,19,43,1,1,2.44,0.0,1
0,0,0,0,0.15,40,50,1,0,0.37,0.0,0
0,0,0,0,0.29,41,52,0,1,0.37,0.0,0
0,0,0,0,0.33,32,44,0,1,0.37,0.0,1
0,0,0,0,0.42,40,50,1,1,0.37,0.0,1
0,0,0,0,0.54,38,47,1,1,0.37,0.0,1
0,0,1,0,1.0,36,44,1,1,0.37,0.0,1
0,0,1,0,1.0,13,42,0,0,0.37,0.0,1
0,1,0,0,0.22,37,33,1,0,0.37,0.0,0
0,1,1,0,0.99,35,40,0,1,0.37,0.0,1
0,1,1,0,1.0,12,5,0,1,0.37,0.0,1
0,0,0,0,0.31,34,28,0,0,2.65,0.0,1
0,0,0,0,0.41,38,30,1,1,2.65,0.0,1
0,0,0,0,0.44,51,0,1,0,2.65,0.0,1
0,0,0,0,0.85,50,25,0,1,2.65,0.0,1
0,0,1,0,0.96,32,2,0,1,2.65,0.0,1
0,0,1,0,1.0,35,31,0,1,2.65,0.0,1
0,0,1,0,1.0,36,39,0,1,2.65,0.0,1
0,0,1,0,1.0,35,46,1,1,2.65,0.0,1
0,0,1,0,1.0,29,38,0,1,2.65,0.0,1
1,1,0,0,0.18,47,13,0,0,2.65,0.0,1
1,1,0,0,0.51,42,54,0,1,2.65,0.0,1
1,1,0,0,0.59,53,13,0,1,2.65,0.0,1
1,1,1,0,0.99,43,42,1,1,2.65,0.0,1
1,1,1,0,1.0,36,46,0,1,2.65,0.0,1
1,1,1,0,1.0,43,53,0,1,2.65,0.0,1
1,0,0,0,0.1,35,20,1,0,0.31,0.0,1
1,0,0,0,0.41,41,51,1,1,0.31,0.0,0
1,0,0,0,0.47,21,35,0,1,0.31,0.0,1
1,0,0,0,0.53,9,6,0,1,0.31,0.0,1
1,0,1,0,0.99,56,17,1,1,0.31,0.0,1
1,0,1,0,1.0,22,39,0,1,0.31,0.0,1
0,1,0,1,0.04,44,11,1,0,0.31,0.0,1
0,1,0,0,0.63,39,50,0,1,0.31,0.0,0
0,1,1,0,1.0,33,43,1,0,0.31,0.0,1
0,0,0,0,0.08,40,7,0,0,0.57,0.0,0
0,0,0,0,0.12,37,35,1,1,0.57,0.0,1
0,0,0,0,0.41,36,48,1,1,0.57,0.0,1
0,0,0,0,0.81,42,30,0,1,0.57,0.0,1
1,0,1,0,1.0,54,20,1,0,0.57,0.0,0
1,1,0,1,0.05,45,16,0,0,0.57,0.0,1
1,1,0,0,0.5,11,22,0,1,0.57,0.0,1
1,1,0,0,0.87,40,47,1,1,0.57,0.0,1
0,0,0,0,0.11,43,54,0,0,1.07,0.0,1
0,0,0,0,0.15,42,0,1,1,1.07,0.0,1
0,0,0,0,0.4,21,45,1,1,1.07,0.0,1
0,0,0,0,0.84,43,40,1,1,1.07,0.0,1
0,0,1,0,1.0,32,36,1,1,1.07,0.0,1
0,0,1,0,1.0,43,34,1,1,1.07,0.0,1
0,1,0,0,0.34,35,47,1,0,1.07,0.0,0
0,1,0,0,0.55,22,47,0,1,1.07,0.0,1
0,1,0,0,0.88,28,10,0,1,1.07,0.0,1
0,1,1,0,1.0,41,20,1,1,1.07,0.0,1
0,0,0,1,0.04,47,24,1,0,0.9,0.0,0
0,0,0,0,0.15,39,24,1,1,0.9,0.0,1
0,0,0,0,0.91,29,36,1,1,0.9,0.0,1
0,0,1,0,1.0,35,41,0,1,0.9,0.0,1
0,1,0,0,0.1,52,15,0,0,0.9,0.0,1
0,1,0,0,0.33,52,23,1,1,0.9,0.0,0
1,1,1,0,1.0,33,35,1,0,0.9,0.0,1
1,1,1,0,1.0,41,49,0,1,0.9,0.0,1
1,1,1,0,1.0,31,40,1,1,0.9,0.0,0
1,1,1,0,1.0,29,35,1,1,0.9,0.0,1
0,0,0,0,0.08,40,44,0,0,0.83,0.0,1
0,0,0,0,0.23,54,4,0,1,0.83,0.0,0
0,0,1,0,0.95,31,31,1,1,0.83,0.0,1
0,0,1,0,1.0,44,27,0,1,0.83,0.0,1
0,0,1,0,1.0,33,43,1,1,0.83,0.0,1
0,0,1,0,1.0,36,46,0,1,0.83,0.0,1
0,1,0,0,0.28,36,44,1,1,0.83,0.0,1
0,1,1,0,1.0,45,49,0,1,0.83,0.0,1
0,0,0,0,0.49,44,9,1,0,2.15,0.0,0
0,0,0,0,0.58,33,29,0,1,2.15,0.0,1
0,0,0,0,0.84,30,40,1,1,2.15,0.0,1
0,0,1,0,0.97,29,36,0,1,2.15,0.0,1
